Date,Open,High,Low,Close,Adj Close,Volume
1999-05-01,7020.100098,7110.100098,6727.600098,6841.799805,6841.799805,118637400000
1999-06-01,6841.799805,7028.500000,6788.500000,7010.100098,7010.100098,138257550000
1999-07-01,7091.500000,7309.200195,6977.600098,7081.000000,7081.000000,117916390000
1999-08-01,7092.000000,7230.299805,6752.500000,6970.799805,6970.799805,132277460000
1999-09-01,6993.000000,7175.000000,6717.500000,6957.700195,6957.700195,145489010000
1999-10-01,6906.399902,7256.200195,6809.799805,7256.200195,7256.200195,126461540000
1999-11-01,7227.100098,7903.500000,7196.899902,7523.200195,7523.200195,155234070000
1999-12-01,7691.399902,8498.799805,7519.500000,8413.799805,8413.799805,108993790000
2000-01-01,8271.700195,8755.599609,8018.600098,8481.099609,8481.099609,140128120000
2000-02-01,8496.299805,9557.599609,8438.400391,9129.000000,9129.000000,90717750000
2000-03-01,9317.900391,10176.700195,9191.900391,9462.400391,9462.400391,136478380000
2000-04-01,9520.700195,9640.099609,8421.599609,9347.599609,9347.599609,183972230000
2000-05-01,9399.099609,9620.500000,8807.400391,9252.000000,9252.000000,213776740000
2000-06-01,9397.900391,10310.099609,9397.900391,10195.500000,10195.500000,191639000000
2000-07-01,10195.500000,10983.299805,10153.099609,10406.299805,10406.299805,149624800000
2000-08-01,10456.700195,11325.400391,10181.500000,11247.900391,11247.900391,177733470000
2000-09-01,11375.400391,11402.000000,10203.000000,10377.900391,10377.900391,175264880000
2000-10-01,10491.700195,10701.500000,9185.599609,9639.599609,9639.599609,214771900000
2000-11-01,9561.299805,9786.200195,8593.500000,8819.900391,8819.900391,186561110000
2000-12-01,8896.799805,9661.500000,8561.900391,8933.700195,8933.700195,199955980000
2001-01-01,8961.799805,9425.500000,8474.299805,9321.900391,9321.900391,215022700000
2001-02-01,9276.400391,9367.799805,7913.799805,8078.700195,8078.700195,207352030000
2001-03-01,8033.100098,8315.400391,7438.500000,7608.000000,7608.000000,236355100000
2001-04-01,7633.299805,8147.700195,7382.000000,7946.600098,7946.600098,210965280000
2001-05-01,7915.600098,8409.099609,7864.500000,8161.899902,8161.899902,253482420000
2001-06-01,8180.100098,8334.799805,7519.500000,7736.399902,7736.399902,234785490000
2001-07-01,7687.100098,7765.600098,7531.600098,7689.700195,7689.700195,159700040000
2001-08-01,7703.000000,7777.100098,7397.399902,7399.200195,7399.200195,168179320000
2001-09-01,7420.299805,7513.600098,6301.500000,6838.600098,6838.600098,199016980000
2001-10-01,6801.899902,7077.299805,6766.399902,6885.700195,6885.700195,227734250000
2001-11-01,6904.600098,7496.000000,6864.799805,7425.700195,7425.700195,236875970000
2001-12-01,7366.000000,7729.299805,7346.600098,7688.399902,7688.399902,198970920000
2002-01-01,7679.600098,7875.700195,7468.899902,7648.500000,7648.500000,208693730000
2002-02-01,7641.100098,7707.399902,7402.700195,7637.500000,7637.500000,209199910000
